Show_id,age_group,gender,country,region,subscription_plan,monthly_fee,subscription_start_date,subscription_end_date,payment_method,discount_applied,churn_status,title,content_type,genre,language,release_year,device_type,watch_time_minutes,session_count,completion_percentage,date_watched,time_of_day,rating,liked,recommendation_source,days_since_last_watch,avg_weekly_watch_time,content_diversity_score,User_status,Engagement_Level,Completion_group,Viwer_Type
U100036,40,Female,India,Asia,Basic,8.99,2023-07-10,2026-02-07,Bank Transfer,Yes,Active,Animation Title 1075,Movie,Animation,German,2022,Mobile,52,1,86,2023-09-16,Evening,4,Yes,Search,40,215,0.22,At Risk,low,High Completion,Casual viewer
U100037,50,Male,India,Asia,Premium,17.99,2023-12-26,2026-02-07,Card,Yes,Active,Animation Title 1233,Series,Animation,German,2014,TV,113,3,94,2023-12-29,Afternoon,4,Yes,Friend,32,383,0.84,At Risk,low,High Completion,Heavy viewer
U100038,40,Female,UK,Europe,Basic,8.99,2022-07-15,2026-02-07,Bank Transfer,No,Active,Action Title 1286,Series,Action,Portuguese,2003,Tablet,33,1,55,2022-11-12,Night,1,No,Trending,58,153,0.94,At Risk,low,Medium,Casual viewer
U100039,60,Male,Nigeria,Africa,Premium,17.99,2024-02-20,2026-02-07,Bank Transfer,No,Active,Romance Title 1278,Series,Romance,German,2009,Mobile,137,4,100,2024-05-19,Evening,4,Yes,Ads,31,397,0.86,At Risk,low,High Completion,Heavy viewer
U100040,17,Male,Nigeria,Africa,Basic,8.99,2022-09-17,2023-02-06,Bank Transfer,No,Cancelled,Documentary Title 2773,Movie,Documentary,Yoruba,2021,Tablet,55,1,91,2023-02-01,Afternoon,3,No,Search,40,256,0.56,At Risk,low,High Completion,Heavy viewer
U100041,60,Male,Nigeria,Africa,Basic,8.99,2024-01-08,2026-02-07,Bank Transfer,No,Active,Animation Title 359,Series,Animation,English,2004,Laptop,75,2,100,2024-09-18,Morning,3,No,Friend,3,179,0.64,Active,low,High Completion,Casual viewer
U100042,60,Male,Germany,Europe,Standard,13.99,2023-07-04,2025-01-13,Wallet,No,Cancelled,Documentary Title 440,Movie,Documentary,German,2017,Mobile,99,3,100,2023-08-08,Afternoon,5,Yes,Trending,55,252,0.86,At Risk,low,High Completion,Heavy viewer
U100043,60,Male,Brazil,South America,Standard,13.99,2022-02-12,2026-02-07,Wallet,Yes,Active,Comedy Title 2740,Series,Comedy,French,2002,TV,93,3,100,2022-11-22,Night,5,Yes,Friend,35,250,0.96,At Risk,low,High Completion,Casual viewer
U100044,30,Female,India,Asia,Premium,17.99,2022-09-17,2026-02-07,Bank Transfer,No,Active,Animation Title 504,Movie,Animation,Hindi,2012,Laptop,89,2,74,2023-07-08,Afternoon,5,Yes,Trending,35,347,0.57,At Risk,low,Medium,Heavy viewer
U100045,50,Male,Japan,Asia,Basic,8.99,2024-01-17,2026-02-07,Card,Yes,Active,Animation Title 1256,Series,Animation,Portuguese,2020,Laptop,59,1,98,2024-05-04,Night,4,Yes,Algorithm,44,183,0.5,At Risk,low,High Completion,Casual viewer
U100046,21,Male,Canada,North America,Basic,8.99,2024-05-25,2024-07-12,Bank Transfer,Yes,Cancelled,Thriller Title 833,Series,Thriller,Hindi,2001,Mobile,61,2,100,2024-10-27,Morning,4,Yes,Trending,27,198,0.62,Active,low,High Completion,Casual viewer
U100047,17,Female,UK,Europe,Standard,13.99,2023-05-21,2026-02-07,Bank Transfer,No,Active,Comedy Title 288,Series,Comedy,Hindi,2018,TV,90,3,100,2023-06-29,Night,3,No,Ads,16,309,0.7,Active,low,High Completion,Heavy viewer
U100048,40,Female,Germany,Europe,Basic,8.99,2023-03-25,2026-02-07,Card,No,Active,Documentary Title 2164,Movie,Documentary,German,2020,TV,31,1,51,2023-05-22,Evening,3,No,Algorithm,55,202,0.33,At Risk,low,Medium,Casual viewer
U100049,30,Female,UK,Europe,Premium,17.99,2022-10-11,2026-02-07,Card,No,Active,Thriller Title 562,Series,Thriller,English,2010,Laptop,134,4,100,2023-02-08,Morning,4,Yes,Search,37,354,0.89,At Risk,low,High Completion,Heavy viewer
U100050,30,Male,Brazil,South America,Basic,8.99,2022-08-25,2026-02-07,Bank Transfer,No,Active,Comedy Title 1234,Series,Comedy,French,2005,Tablet,64,2,100,2023-06-01,Morning,2,No,Trending,1,193,0.87,Active,low,High Completion,Casual viewer
U100051,17,Female,France,Europe,Premium,17.99,2022-12-20,2026-02-07,Bank Transfer,No,Active,Animation Title 625,Movie,Animation,English,2009,Mobile,118,3,98,2023-07-15,Morning,4,Yes,Ads,55,372,1,At Risk,low,High Completion,Heavy viewer
U100052,60,Female,France,Europe,Premium,17.99,2022-12-05,2026-02-07,Card,No,Active,Animation Title 130,Series,Animation,Japanese,2022,Laptop,115,3,95,2023-09-05,Morning,2,No,Friend,30,305,0.74,Active,low,High Completion,Heavy viewer
U100053,50,Male,South Africa,Africa,Standard,13.99,2022-09-13,2026-02-07,Card,Yes,Active,Action Title 1611,Series,Action,Yoruba,2013,TV,98,3,100,2022-10-08,Night,4,Yes,Trending,46,332,0.88,At Risk,low,High Completion,Heavy viewer
U100054,17,Male,Canada,North America,Standard,13.99,2022-12-30,2026-02-07,Wallet,No,Active,Animation Title 2703,Movie,Animation,English,2019,Mobile,112,3,100,2023-01-02,Night,4,Yes,Ads,16,252,0.21,Active,low,High Completion,Heavy viewer
U100055,21,Female,South Africa,Africa,Basic,8.99,2022-03-01,2026-02-07,Card,No,Active,Animation Title 92,Movie,Animation,Portuguese,2002,Tablet,54,1,90,2022-06-19,Afternoon,4,Yes,Algorithm,58,93,0.83,At Risk,low,High Completion,Casual viewer
U100056,21,Female,India,Asia,Basic,8.99,2023-09-05,2026-02-07,Card,No,Active,Comedy Title 520,Series,Comedy,English,2012,Mobile,59,1,98,2024-03-12,Morning,4,Yes,Ads,43,168,0.98,At Risk,low,High Completion,Casual viewer
U100057,21,Female,Canada,North America,Standard,13.99,2023-08-12,2026-02-07,Card,No,Active,Documentary Title 959,Movie,Documentary,French,2001,Mobile,65,2,72,2024-01-24,Evening,2,No,Search,46,289,0.48,At Risk,low,Medium,Heavy viewer
U100058,40,Male,South Africa,Africa,Premium,17.99,2023-10-15,2026-02-07,Wallet,No,Active,Drama Title 1352,Movie,Drama,Japanese,2017,Mobile,107,3,89,2024-01-10,Night,3,No,Search,35,302,0.49,At Risk,low,High Completion,Heavy viewer
U100059,30,Female,Japan,Asia,Standard,13.99,2023-05-09,2026-02-07,Wallet,Yes,Active,Action Title 2953,Series,Action,Hindi,2018,TV,87,2,96,2024-01-10,Evening,4,Yes,Trending,17,245,0.8,Active,low,High Completion,Casual viewer
U100060,60,Male,Canada,North America,Basic,8.99,2023-04-28,2026-02-07,Bank Transfer,No,Active,Drama Title 1544,Series,Drama,French,2001,Laptop,50,1,83,2023-10-15,Night,1,No,Ads,17,214,0.92,Active,low,High Completion,Casual viewer
U100061,17,Female,Canada,North America,Standard,13.99,2023-07-17,2026-02-07,Card,Yes,Active,Comedy Title 682,Movie,Comedy,Japanese,2000,TV,75,2,83,2024-02-08,Evening,3,No,Trending,25,233,0.5,Active,low,High Completion,Casual viewer
U100062,40,Female,USA,North America,Basic,8.99,2024-02-29,2026-02-07,Card,Yes,Active,Comedy Title 2074,Movie,Comedy,Hindi,2006,Mobile,63,2,100,2024-04-08,Morning,4,Yes,Friend,0,222,0.6,Active,low,High Completion,Casual viewer
U100063,17,Female,Canada,North America,Basic,8.99,2022-08-16,2026-02-07,Wallet,No,Active,Documentary Title 893,Series,Documentary,Hindi,2004,TV,69,2,100,2022-10-23,Evening,3,No,Search,25,153,0.49,Active,low,High Completion,Casual viewer
U100064,17,Female,Brazil,South America,Standard,13.99,2023-11-28,2026-02-07,Card,No,Active,Romance Title 2221,Series,Romance,French,2013,Laptop,84,2,93,2024-01-11,Afternoon,3,No,Friend,32,251,0.33,At Risk,low,High Completion,Heavy viewer
U100065,50,Male,Canada,North America,Basic,8.99,2024-01-29,2026-02-07,Bank Transfer,Yes,Active,Animation Title 2760,Series,Animation,Portuguese,2024,Mobile,50,1,83,2024-09-09,Afternoon,1,No,Trending,15,207,0.99,Active,low,High Completion,Casual viewer
U100066,30,Female,India,Asia,Basic,8.99,2023-06-25,2026-02-07,Wallet,No,Active,Sci-Fi Title 2037,Series,Sci-Fi,Japanese,2016,Laptop,49,1,81,2024-03-30,Morning,3,No,Trending,32,201,0.65,At Risk,low,High Completion,Casual viewer
U100067,50,Female,Nigeria,Africa,Standard,13.99,2022-11-22,2026-02-07,Bank Transfer,No,Active,Documentary Title 1651,Movie,Documentary,French,2008,Mobile,93,3,100,2023-05-21,Evening,4,Yes,Trending,1,160,0.39,Active,low,High Completion,Casual viewer
U100068,30,Female,USA,North America,Basic,8.99,2022-03-24,2026-02-07,Wallet,Yes,Active,Thriller Title 2778,Series,Thriller,Portuguese,2008,Mobile,101,3,100,2022-05-17,Afternoon,2,No,Search,28,174,0.31,Active,low,High Completion,Casual viewer
U100069,30,Male,USA,North America,Basic,8.99,2024-06-06,2025-02-16,Bank Transfer,No,Cancelled,Documentary Title 1223,Series,Documentary,English,2018,TV,53,1,88,2025-02-18,Afternoon,5,Yes,Trending,23,210,0.68,Active,low,High Completion,Casual viewer
U100070,60,Male,Nigeria,Africa,Standard,13.99,2024-03-08,2026-02-07,Card,No,Active,Animation Title 650,Series,Animation,German,2000,Laptop,92,3,100,2024-08-30,Evening,4,Yes,Trending,10,289,0.87,Active,low,High Completion,Heavy viewer
U100071,17,Female,Canada,North America,Basic,8.99,2023-12-20,2025-04-11,Bank Transfer,Yes,Cancelled,Drama Title 691,Movie,Drama,Hindi,2013,Mobile,83,2,100,2024-10-13,Morning,4,Yes,Trending,40,221,0.62,At Risk,low,High Completion,Casual viewer
U100072,30,Male,France,Europe,Basic,8.99,2023-11-10,2024-04-12,Bank Transfer,No,Cancelled,Animation Title 1285,Series,Animation,English,2019,TV,49,1,81,2024-01-01,Morning,1,No,Search,19,222,0.6,Active,low,High Completion,Casual viewer
U100073,17,Male,India,Asia,Basic,8.99,2024-01-24,2024-05-11,Card,No,Cancelled,Thriller Title 23,Series,Thriller,Portuguese,2023,Tablet,47,1,78,2024-11-06,Night,3,No,Friend,22,191,0.95,Active,low,Medium,Casual viewer
U100074,40,Male,France,Europe,Standard,13.99,2023-08-05,2026-02-07,Bank Transfer,Yes,Active,Drama Title 782,Series,Drama,Hindi,2015,Laptop,104,3,100,2023-10-22,Morning,4,Yes,Ads,53,250,0.45,At Risk,low,High Completion,Casual viewer
U100075,21,Female,South Africa,Africa,Basic,8.99,2023-12-30,2026-02-07,Bank Transfer,Yes,Active,Animation Title 2293,Series,Animation,Yoruba,2011,Laptop,66,2,100,2024-06-12,Evening,3,No,Friend,57,213,0.86,At Risk,low,High Completion,Casual viewer
U100076,40,Male,UK,Europe,Basic,8.99,2023-09-17,2024-04-23,Card,Yes,Cancelled,Romance Title 1909,Movie,Romance,German,2002,Laptop,53,1,88,2024-04-04,Morning,3,No,Search,34,218,0.71,At Risk,low,High Completion,Casual viewer
U100077,40,Male,Germany,Europe,Standard,13.99,2022-10-23,2026-02-07,Wallet,Yes,Active,Sci-Fi Title 536,Movie,Sci-Fi,Portuguese,2005,Mobile,104,3,100,2023-03-15,Night,4,Yes,Trending,1,303,0.52,Active,low,High Completion,Heavy viewer
U100078,30,Male,France,Europe,Standard,13.99,2023-07-08,2024-11-27,Card,Yes,Cancelled,Comedy Title 1998,Series,Comedy,English,2020,TV,86,2,95,2023-12-24,Afternoon,4,Yes,Algorithm,19,341,0.94,Active,low,High Completion,Heavy viewer
U100079,60,Female,USA,North America,Standard,13.99,2022-10-29,2026-02-07,Wallet,No,Active,Sci-Fi Title 1883,Series,Sci-Fi,Japanese,2019,TV,98,3,100,2022-11-20,Evening,4,Yes,Ads,24,274,0.94,Active,low,High Completion,Heavy viewer
U100080,40,Male,India,Asia,Standard,13.99,2022-04-12,2026-02-07,Card,No,Active,Drama Title 2561,Series,Drama,English,2011,Mobile,128,4,100,2022-07-16,Night,4,Yes,Trending,42,246,0.47,At Risk,low,High Completion,Casual viewer
U100081,17,Female,USA,North America,Premium,17.99,2022-10-04,2026-02-07,Wallet,No,Active,Comedy Title 1090,Movie,Comedy,English,2012,TV,117,3,97,2023-01-11,Afternoon,3,No,Search,56,385,0.48,At Risk,low,High Completion,Heavy viewer
U100082,60,Male,Canada,North America,Standard,13.99,2023-08-05,2026-02-07,Wallet,Yes,Active,Romance Title 295,Series,Romance,French,2010,Mobile,89,2,98,2023-12-03,Night,2,No,Search,10,302,0.49,Active,low,High Completion,Heavy viewer
U100083,17,Male,Canada,North America,Standard,13.99,2022-10-30,2026-02-07,Wallet,Yes,Active,Drama Title 201,Series,Drama,Yoruba,2023,Mobile,87,2,96,2023-05-21,Night,3,No,Search,27,263,1,Active,low,High Completion,Heavy viewer
U100084,30,Female,India,Asia,Standard,13.99,2024-01-14,2026-02-07,Card,Yes,Active,Drama Title 1056,Series,Drama,English,2013,Mobile,88,2,97,2024-05-30,Evening,4,Yes,Friend,35,372,0.25,At Risk,low,High Completion,Heavy viewer
U100085,21,Female,France,Europe,Premium,17.99,2022-04-18,2026-02-07,Bank Transfer,No,Active,Documentary Title 2845,Movie,Documentary,French,2017,TV,103,3,85,2022-05-12,Evening,2,No,Search,30,368,0.35,Active,low,High Completion,Heavy viewer
U100086,17,Female,UK,Europe,Premium,17.99,2023-06-16,2024-11-26,Wallet,No,Cancelled,Animation Title 1676,Movie,Animation,French,2020,Laptop,114,3,95,2024-01-01,Night,3,No,Ads,45,379,0.73,At Risk,low,High Completion,Heavy viewer
U100087,40,Female,Brazil,South America,Basic,8.99,2023-01-07,2026-02-07,Bank Transfer,Yes,Active,Thriller Title 1841,Series,Thriller,French,2008,Mobile,48,1,80,2023-05-21,Evening,4,Yes,Ads,58,174,0.34,At Risk,low,High Completion,Casual viewer
U100088,21,Male,Germany,Europe,Standard,13.99,2023-05-23,2026-02-07,Bank Transfer,Yes,Active,Comedy Title 252,Movie,Comedy,Hindi,2003,Laptop,93,3,100,2024-01-11,Afternoon,4,Yes,Trending,1,335,0.36,Active,low,High Completion,Heavy viewer
U100089,30,Female,France,Europe,Basic,8.99,2022-11-17,2023-04-09,Wallet,Yes,Cancelled,Thriller Title 1858,Movie,Thriller,Japanese,2022,TV,44,1,73,2023-09-02,Afternoon,2,No,Search,56,250,0.91,At Risk,low,Medium,Casual viewer
U100090,21,Female,Japan,Asia,Premium,17.99,2023-03-26,2026-02-07,Bank Transfer,Yes,Active,Documentary Title 2959,Movie,Documentary,English,2018,TV,131,4,100,2023-07-20,Night,2,No,Ads,4,409,0.55,Active,low,High Completion,Heavy viewer
U100091,50,Male,Germany,Europe,Basic,8.99,2022-12-20,2024-06-03,Bank Transfer,No,Cancelled,Comedy Title 2807,Movie,Comedy,German,2004,Tablet,27,1,45,2023-09-13,Morning,3,No,Friend,33,178,0.84,At Risk,low,Low,Casual viewer
U100092,50,Male,India,Asia,Standard,13.99,2024-01-25,2026-02-07,Card,Yes,Active,Action Title 1299,Series,Action,Hindi,2018,TV,80,2,88,2024-08-18,Night,3,No,Trending,22,218,0.42,Active,low,High Completion,Casual viewer
U100093,60,Female,South Africa,Africa,Basic,8.99,2024-01-09,2024-11-22,Card,Yes,Cancelled,Romance Title 1822,Series,Romance,Portuguese,2001,Mobile,61,2,100,2024-01-14,Morning,5,Yes,Ads,60,208,0.86,At Risk,low,High Completion,Casual viewer
U100094,17,Female,Canada,North America,Basic,8.99,2022-02-09,2026-02-07,Card,Yes,Active,Romance Title 406,Series,Romance,Japanese,2010,Tablet,84,2,100,2022-09-04,Afternoon,5,Yes,Search,11,139,0.93,Active,low,High Completion,Casual viewer
U100095,60,Male,Brazil,South America,Standard,13.99,2024-03-28,2026-02-07,Wallet,No,Active,Comedy Title 127,Movie,Comedy,Hindi,2012,Mobile,97,3,100,2024-11-25,Evening,3,No,Ads,32,277,0.68,At Risk,low,High Completion,Heavy viewer
U100096,50,Male,Canada,North America,Basic,8.99,2023-03-27,2026-02-07,Wallet,Yes,Active,Drama Title 272,Movie,Drama,Japanese,2012,Laptop,68,2,100,2023-05-29,Evening,2,No,Search,27,263,0.95,Active,low,High Completion,Heavy viewer
U100097,30,Male,Brazil,South America,Standard,13.99,2022-03-26,2026-02-07,Card,Yes,Active,Drama Title 146,Movie,Drama,Portuguese,2018,TV,85,2,94,2022-05-11,Afternoon,3,No,Search,7,243,0.68,Active,low,High Completion,Casual viewer
U100098,17,Male,Germany,Europe,Basic,8.99,2022-11-13,2023-02-10,Card,Yes,Cancelled,Thriller Title 449,Movie,Thriller,English,2001,Laptop,89,2,100,2023-04-11,Evening,3,No,Friend,24,117,0.86,Active,low,High Completion,Casual viewer
U100099,30,Male,UK,Europe,Premium,17.99,2022-08-05,2026-02-07,Bank Transfer,Yes,Active,Documentary Title 790,Series,Documentary,English,2015,TV,113,3,94,2022-11-08,Morning,2,No,Trending,23,350,0.63,Active,low,High Completion,Heavy viewer
U100100,50,Female,India,Asia,Premium,17.99,2024-05-07,2026-02-07,Bank Transfer,No,Active,Romance Title 2344,Series,Romance,Portuguese,2003,TV,113,3,94,2024-11-12,Evening,4,Yes,Trending,22,298,0.99,Active,low,High Completion,Heavy viewer
U100101,60,Female,India,Asia,Premium,17.99,2023-03-02,2026-02-07,Card,No,Active,Thriller Title 2653,Series,Thriller,Yoruba,2021,Mobile,119,3,99,2023-08-20,Afternoon,4,Yes,Ads,35,365,0.23,At Risk,low,High Completion,Heavy viewer
U100102,50,Female,Canada,North America,Standard,13.99,2022-03-25,2026-02-07,Bank Transfer,No,Active,Documentary Title 2195,Series,Documentary,Portuguese,2007,Tablet,106,3,100,2022-11-17,Evening,3,No,Search,56,251,0.86,At Risk,low,High Completion,Heavy viewer
